experiment_id,seed_set,seed_count,formula,created_at
DOE-005,"[2501, 2524, 2547, 2570, 2593, 2616, 2639, 2662, 2685, 2708, 2731, 2754, 2777, 2800, 2823, 2846, 2869, 2892, 2915, 2938, 2961, 2984, 3007, 3030, 3053, 3076, 3099, 3122, 3145, 3168]",30,"seed_i = 2501 + i * 23, i=0..29",2026-02-08 08:15:03.053893
DOE-006,"[3501, 3530, 3559, 3588, 3617, 3646, 3675, 3704, 3733, 3762, 3791, 3820, 3849, 3878, 3907, 3936, 3965, 3994, 4023, 4052, 4081, 4110, 4139, 4168, 4197, 4226, 4255, 4284, 4313, 4342]",30,"seed_i = 3501 + i * 29, i=0..29",2026-02-08 08:50:45.363704
DOE-007,"[4501, 4532, 4563, 4594, 4625, 4656, 4687, 4718, 4749, 4780, 4811, 4842, 4873, 4904, 4935, 4966, 4997, 5028, 5059, 5090, 5121, 5152, 5183, 5214, 5245, 5276, 5307, 5338, 5369, 5400]",30,"seed_i = 4501 + i * 31, i=0..29",2026-02-08 09:14:44.652982
DOE-008,"[6001, 6038, 6075, 6112, 6149, 6186, 6223, 6260, 6297, 6334, 6371, 6408, 6445, 6482, 6519, 6556, 6593, 6630, 6667, 6704, 6741, 6778, 6815, 6852, 6889, 6926, 6963, 7000, 7037, 7074]",30,"seed_i = 6001 + i * 37, i=0..29",2026-02-08 09:45:36.189194
DOE-009,"[8001, 8042, 8083, 8124, 8165, 8206, 8247, 8288, 8329, 8370, 8411, 8452, 8493, 8534, 8575, 8616, 8657, 8698, 8739, 8780, 8821, 8862, 8903, 8944, 8985, 9026, 9067, 9108, 9149, 9190]",30,"seed_i = 8001 + i * 41, i=0..29",2026-02-08 10:05:01.201301
DOE-010,"[10001, 10044, 10087, 10130, 10173, 10216, 10259, 10302, 10345, 10388, 10431, 10474, 10517, 10560, 10603, 10646, 10689, 10732, 10775, 10818, 10861, 10904, 10947, 10990, 11033, 11076, 11119, 11162, 11205, 11248]",30,"seed_i = 10001 + i * 43, i=0..29",2026-02-08 10:26:37.285855
DOE-021,"[23001, 23092, 23183, 23274, 23365, 23456, 23547, 23638, 23729, 23820, 23911, 24002, 24093, 24184, 24275, 24366, 24457, 24548, 24639, 24730, 24821, 24912, 25003, 25094, 25185, 25276, 25367, 25458, 25549, 25640]",30,"seed_i = 23001 + i * 91, i=0..29",2026-02-09 10:39:58.233364
DOE-021_gen2,"[26001, 26098, 26195, 26292, 26389, 26486, 26583, 26680, 26777, 26874, 26971, 27068, 27165, 27262, 27359, 27456, 27553, 27650, 27747, 27844, 27941, 28038, 28135, 28232, 28329, 28426, 28523, 28620, 28717, 28814]",30,"seed_i = 26001 + i * 97, i=0..29",2026-02-09 10:52:22.766807
DOE-022,"[24001, 24098, 24195, 24292, 24389, 24486, 24583, 24680, 24777, 24874, 24971, 25068, 25165, 25262, 25359, 25456, 25553, 25650, 25747, 25844, 25941, 26038, 26135, 26232, 26329, 26426, 26523, 26620, 26717, 26814]",30,"seed_i = 24001 + i * 97, i=0..29",2026-02-09 11:19:26.234139
DOE-023,"[25001, 25102, 25203, 25304, 25405, 25506, 25607, 25708, 25809, 25910, 26011, 26112, 26213, 26314, 26415, 26516, 26617, 26718, 26819, 26920, 27021, 27122, 27223, 27324, 27425, 27526, 27627, 27728, 27829, 27930]",30,"seed_i = 25001 + i * 101, i=0..29",2026-02-09 11:34:23.644171
DOE-024,"[40001, 40104, 40207, 40310, 40413, 40516, 40619, 40722, 40825, 40928, 41031, 41134, 41237, 41340, 41443, 41546, 41649, 41752, 41855, 41958, 42061, 42164, 42267, 42370, 42473, 42576, 42679, 42782, 42885, 42988]",30,"seed_i = 40001 + i * 103, i=0..29",2026-02-09 12:13:49.26114
DOE-025,"[45001, 45108, 45215, 45322, 45429, 45536, 45643, 45750, 45857, 45964, 46071, 46178, 46285, 46392, 46499, 46606, 46713, 46820, 46927, 47034, 47141, 47248, 47355, 47462, 47569, 47676, 47783, 47890, 47997, 48104]",30,"seed_i = 45001 + i * 107, i=0..29",2026-02-09 12:32:02.246798
DOE-026,"[46001, 46114, 46227, 46340, 46453, 46566, 46679, 46792, 46905, 47018, 47131, 47244, 47357, 47470, 47583, 47696, 47809, 47922, 48035, 48148, 48261, 48374, 48487, 48600, 48713, 48826, 48939, 49052, 49165, 49278]",30,"seed_i = 46001 + i * 113, i=0..29",2026-02-09 12:47:30.566565
DOE-027,"[47001, 47128, 47255, 47382, 47509, 47636, 47763, 47890, 48017, 48144, 48271, 48398, 48525, 48652, 48779, 48906, 49033, 49160, 49287, 49414, 49541, 49668, 49795, 49922, 50049, 50176, 50303, 50430, 50557, 50684]",30,"seed_i = 47001 + i Ã— 127, i=0..29",2026-02-09 13:01:21.268869
DOE-028,"[48001, 48132, 48263, 48394, 48525, 48656, 48787, 48918, 49049, 49180, 49311, 49442, 49573, 49704, 49835, 49966, 50097, 50228, 50359, 50490, 50621, 50752, 50883, 51014, 51145, 51276, 51407, 51538, 51669, 51800]",30,"seed_i = 48001 + i * 131, i=0..29",2026-02-09 13:15:05.461157
DOE-029,"[49001, 49138, 49275, 49412, 49549, 49686, 49823, 49960, 50097, 50234, 50371, 50508, 50645, 50782, 50919, 51056, 51193, 51330, 51467, 51604, 51741, 51878, 52015, 52152, 52289, 52426, 52563, 52700, 52837, 52974]",30,"seed_i = 49001 + i * 137, i=0..29",2026-02-09 13:26:00.292531
DOE-030,"[53001, 53140, 53279, 53418, 53557, 53696, 53835, 53974, 54113, 54252, 54391, 54530, 54669, 54808, 54947, 55086, 55225, 55364, 55503, 55642, 55781, 55920, 56059, 56198, 56337, 56476, 56615, 56754, 56893, 57032]",30,"seed_i = 53001 + i * 139, i=0..29",2026-02-09 16:14:36.151505
DOE-031,"[57101, 57250, 57399, 57548, 57697, 57846, 57995, 58144, 58293, 58442, 58591, 58740, 58889, 59038, 59187, 59336, 59485, 59634, 59783, 59932, 60081, 60230, 60379, 60528, 60677, 60826, 60975, 61124, 61273, 61422]",30,"seed_i = 57101 + i * 149, i=0..29",2026-02-09 16:24:33.231877
DOE-032,"[61501, 61514, 61527, 61540, 61553, 61566, 61579, 61592, 61605, 61618, 61652, 61665, 61678, 61691, 61704, 61717, 61730, 61743, 61756, 61769, 61803, 61816, 61829, 61842, 61855, 61868, 61881, 61894, 61907, 61920, 61954, 61967, 61980, 61993, 62006, 62019, 62032, 62045, 62058, 62071, 62105, 62118, 62131, 62144, 62157, 62170, 62183, 62196, 62209, 62222, 62256, 62269, 62282, 62295, 62308, 62321, 62334, 62347, 62360, 62373, 62407, 62420, 62433, 62446, 62459, 62472, 62485, 62498, 62511, 62524, 62558, 62571, 62584, 62597, 62610, 62623, 62636, 62649, 62662, 62675, 62709, 62722, 62735, 62748, 62761, 62774, 62787, 62800, 62813, 62826, 62860, 62873, 62886, 62899, 62912, 62925, 62938, 62951, 62964, 62977]",100,"seed_{k,i} = 61501 + k*151 + i*13, k=0..9, i=0..9",2026-02-09 16:30:01.735362
DOE-033,"[65001, 65158, 65315, 65472, 65629, 65786, 65943, 66100, 66257, 66414, 66571, 66728, 66885, 67042, 67199, 67356, 67513, 67670, 67827, 67984, 68141, 68298, 68455, 68612, 68769, 68926, 69083, 69240, 69397, 69554]",30,"seed_i = 65001 + i * 157, i=0..29",2026-02-09 16:46:34.94949
DOE-034,"[42, 139, 236, 333, 430, 527, 624, 721, 818, 915, 1012, 1109, 1206, 1303, 1400, 1497, 1594, 1691, 1788, 1885, 1982, 2079, 2176, 2273, 2370, 2467, 2564, 2661, 2758, 2855]",30,"seed_i = 42 + i * 97, i=0..29 (IDENTICAL to DOE-008)",2026-02-09 16:47:08.129971
DOE-035,"[69001, 69164, 69327, 69490, 69653, 69816, 69979, 70142, 70305, 70468, 70631, 70794, 70957, 71120, 71283, 71446, 71609, 71772, 71935, 72098, 72261, 72424, 72587, 72750, 72913, 73076, 73239, 73402, 73565, 73728]",30,"seed_i = 69001 + i * 163, i=0..29",2026-02-09 16:47:32.653958
DOE-036,"[73001, 73168, 73335, 73502, 73669, 73836, 74003, 74170, 74337, 74504, 74671, 74838, 75005, 75172, 75339, 75506, 75673, 75840, 76007, 76174, 76341, 76508, 76675, 76842, 77009, 77176, 77343, 77510, 77677, 77844]",30,"73001 + i*167, i=0..29",2026-02-09 17:02:43.864755
DOE-037,"[77001, 77174, 77347, 77520, 77693, 77866, 78039, 78212, 78385, 78558, 78731, 78904, 79077, 79250, 79423, 79596, 79769, 79942, 80115, 80288, 80461, 80634, 80807, 80980, 81153, 81326, 81499, 81672, 81845, 82018]",30,"77001 + i*173, i=0..29",2026-02-09 17:03:17.76745
DOE-038,"[81001, 81180, 81359, 81538, 81717, 81896, 82075, 82254, 82433, 82612, 82791, 82970, 83149, 83328, 83507, 83686, 83865, 84044, 84223, 84402, 84581, 84760, 84939, 85118, 85297, 85476, 85655, 85834, 86013, 86192, 86371, 86550, 86729, 86908, 87087, 87266, 87445, 87624, 87803, 87982, 88161, 88340, 88519, 88698, 88877, 89056, 89235, 89414, 89593, 89772]",50,"81001 + i*179, i=0..49",2026-02-09 17:03:43.364193
DOE-039,"[85001, 85182, 85363, 85544, 85725, 85906, 86087, 86268, 86449, 86630, 86811, 86992, 87173, 87354, 87535, 87716, 87897, 88078, 88259, 88440, 88621, 88802, 88983, 89164, 89345, 89526, 89707, 89888, 90069, 90250]",30,"85001 + i*181, i=0..29",2026-02-10 00:06:48.209923
DOE-040,"[89001, 89192, 89383, 89574, 89765, 89956, 90147, 90338, 90529, 90720, 90911, 91102, 91293, 91484, 91675, 91866, 92057, 92248, 92439, 92630, 92821, 93012, 93203, 93394, 93585, 93776, 93967, 94158, 94349, 94540, 94731, 94922, 95113, 95304, 95495, 95686, 95877, 96068, 96259, 96450, 96641, 96832, 97023, 97214, 97405, 97596, 97787, 97978, 98169, 98360]",50,"89001 + i*191, i=0..49",2026-02-10 00:07:12.733354
DOE-041,"[93001, 93194, 93387, 93580, 93773, 93966, 94159, 94352, 94545, 94738, 94931, 95124, 95317, 95510, 95703, 95896, 96089, 96282, 96475, 96668, 96861, 97054, 97247, 97440, 97633, 97826, 98019, 98212, 98405, 98598]",30,"93001 + i*193, i=0..29",2026-02-10 00:07:49.39114
DOE-042,"[95001, 95198, 95395, 95592, 95789, 95986, 96183, 96380, 96577, 96774, 96971, 97168, 97365, 97562, 97759, 97956, 98153, 98350, 98547, 98744, 98941, 99138, 99335, 99532, 99729, 99926, 100123, 100320, 100517, 100714]",30,"95001 + i*197, i=0..29",2026-02-10 09:33:28.048751
DOE-043,"[97001, 97200, 97399, 97598, 97797, 97996, 98195, 98394, 98593, 98792, 98991, 99190, 99389, 99588, 99787, 99986, 100185, 100384, 100583, 100782, 100981, 101180, 101379, 101578, 101777, 101976, 102175, 102374, 102573, 102772]",30,"97001 + i*199, i=0..29",2026-02-10 09:34:01.626214
DOE-044,"[99001, 99212, 99423, 99634, 99845, 100056, 100267, 100478, 100689, 100900, 101111, 101322, 101533, 101744, 101955, 102166, 102377, 102588, 102799, 103010]",20,"99001 + i*211, i=0..19",2026-02-10 09:35:14.317439
DOE-044_gen2,"[104001, 104224, 104447, 104670, 104893, 105116, 105339, 105562, 105785, 106008, 106231, 106454, 106677, 106900, 107123, 107346, 107569, 107792, 108015, 108238]",20,gen2 seeds,2026-02-10 09:35:44.01785
DOE-044_gen3,"[109001, 109228, 109455, 109682, 109909, 110136, 110363, 110590, 110817, 111044, 111271, 111498, 111725, 111952, 112179, 112406, 112633, 112860, 113087, 113314]",20,gen3 seeds,2026-02-10 09:36:24.938786
DOE-044_gen4,"[114001, 114230, 114459, 114688, 114917, 115146, 115375, 115604, 115833, 116062, 116291, 116520, 116749, 116978, 117207, 117436, 117665, 117894, 118123, 118352]",20,gen4 seeds,2026-02-10 09:37:04.693674
DOE-044_gen5,"[119001, 119234, 119467, 119700, 119933, 120166, 120399, 120632, 120865, 121098, 121331, 121564, 121797, 122030, 122263, 122496, 122729, 122962, 123195, 123428]",20,gen5 seeds,2026-02-10 09:37:49.015968
DOE-045,"[101001, 101224, 101447, 101670, 101893, 102116, 102339, 102562, 102785, 103008, 103231, 103454, 103677, 103900, 104123, 104346, 104569, 104792, 105015, 105238, 105461, 105684, 105907, 106130, 106353, 106576, 106799, 107022, 107245, 107468]",30,"101001 + i*223, i=0..29",2026-02-10 09:34:14.535695
